"",,,,,Kumulativ incidens
"",,,Antal COVID‐19‐,,(per 100.000
Kommune (id),Kommune (navn),Antal testede,tilfælde,Befolkning,indbyggere)
101,København,13794,1485,6 23.404,238
147,Frederiksberg,2402,287,1 03.960,276
155,Dragør,270,22,14.270,154
185,Tårnby,849,65,42.984,151
165,Albertslund,696,84,27.877,301
151,Ballerup,1281,124,48.458,256
153,Brøndby,787,98,35.397,277
157,Gentofte,1675,186,75.176,247
159,Gladsaxe,1640,173,69.681,248
161,Glostrup,615,98,22.615,433
163,Herlev,681,76,28.786,264
167,Hvidovre,1354,176,53.416,329
169,Høje‐Taastrup,989,104,50.686,205
183,Ishøj,486,57,22.946,248
173,Lyngby‐Taarbæk,1240,108,55.790,194
175,Rødovre,922,98,40.052,245
187,Vallensbæk,389,64,16.654,384
201,Allerød,475,20,25.646,78
240,Egedal,989,127,43.335,293
210,Fredensborg,796,35,40.819,86
250,Frederikssund,911,59,45.332,130
190,Furesø,842,57,41.069,139
270,Gribskov,906,53,41.195,129
260,Halsnæs,604,27,31.271,86
217,Helsingør,1357,91,62.567,145
219,Hillerød,1066,75,50.998,147
223,Hørsholm,538,52,25.007,208
230,Rudersdal,1165,97,56.509,172
400,Bornholm,908,55,39.572,139
411,Christiansø,3,<10 tilfælde,90,<10 tilfælde
253,Greve,691,66,50.267,131
259,Køge,806,89,60.675,147
350,Lejre,398,36,27.775,130
265,Roskilde,1269,115,87.577,131
269,Solrød,326,35,23.065,152
320,Faxe,471,34,36.513,93
376,Guldborgsund,765,43,60.930,71
316,Holbæk,1015,84,71.297,118
326,Kalundborg,588,44,48.681,90
360,Lolland,641,49,41.615,118
370,Næstved,1118,99,82.991,119
306,Odsherred,425,27,33.122,82
329,Ringsted,402,30,34.725,86
330,Slagelse,1505,237,79.073,300
340,Sorø,432,46,29.834,154
336,Stevns,271,17,22.782,75
390,Vordingborg,518,27,45.816,59
420,Assens,564,19,41.212,46
430,Faaborg‐Midtfyn,650,29,51.809,56
440,Kerteminde,345,11,23.773,46
482,Langeland,168,<10 tilfælde,12.560,<10 tilfælde
410,Middelfart,638,38,38.553,99
480,Nordfyns,401,13,29.693,44
450,Nyborg,452,32,32.042,100
461,Odense,3106,148,2 04.182,72
"",,,,,Kumulativ incidens
"",,,Antal COVID‐19‐,,(per 100.000
Kommune (id),Kommune (navn),Antal testede,tilfælde,Befolkning,indbyggere)
479,Svendborg,1089,74,58.599,126
492,Ærø,70,<10 tilfælde,6.058,<10 tilfælde
530,Billund,295,16,26.629,60
561,Esbjerg,1714,108,1 15.652,93
563,Fanø,32,<10 tilfælde,3.404,<10 tilfælde
607,Fredericia,826,35,51.427,68
510,Haderslev,553,<10 tilfælde,55.857,<10 tilfælde
621,Kolding,1524,99,92.893,107
540,Sønderborg,773,12,74.561,16
550,Tønder,321,12,37.587,32
573,Varde,590,15,50.129,30
575,Vejen,512,22,42.863,51
630,Vejle,1734,71,1 14.830,62
580,Aabenraa,789,38,59.035,64
710,Favrskov,565,24,48.374,50
766,Hedensted,509,13,46.747,28
615,Horsens,1188,32,90.370,35
707,Norddjurs,435,<10 tilfælde,37.680,<10 tilfælde
727,Odder,279,<10 tilfælde,22.675,<10 tilfælde
730,Randers,1094,23,97.909,23
741,Samsø,45,<10 tilfælde,3.684,<10 tilfælde
740,Silkeborg,1295,95,93.054,102
746,Skanderborg,881,46,61.974,74
706,Syddjurs,569,12,42.768,28
751,Aarhus,5359,301,3 45.332,87
657,Herning,1391,207,88.917,233
661,Holstebro,1306,188,58.504,321
756,Ikast‐Brande,450,36,41.282,87
665,Lemvig,205,18,19.998,90
760,Ringkøbing‐Skjern,565,56,56.930,98
779,Skive,487,31,46.224,67
671,Struer,258,28,21.143,132
791,Viborg,1161,65,97.113,67
810,Brønderslev,600,35,36.370,96
813,Frederikshavn,630,13,59.987,22
860,Hjørring,902,23,64.665,36
849,Jammerbugt,556,19,38.460,49
825,Læsø,12,<10 tilfælde,1.806,<10 tilfælde
846,Mariagerfjord,565,24,42.055,57
773,Morsø,309,13,20.403,64
840,Rebild,424,11,29.916,37
787,Thisted,622,30,43.660,69
820,Vesthimmerlands,628,43,37.121,116
851,Aalborg,3137,133,2 15.312,62
